risk_id,attribute,risk,affected_group,population_share,protected_class,disparate_impact,equal_opportunity_gap,severity,likelihood,impact,best_mitigation,disparate_impact_after,residual_severity,compliant_after_mitigation
FR-01,education,Adverse impact on education level,below university,72.6%,No - proxy for socioeconomic status,0.744,-0.0283,Medium,Certain - measured on held-out data,below university applicants are approved at 74% of the reference group's rate,B: group threshold,0.7632,Medium,False
FR-02,age,Adverse impact on age,young (<30),18.2%,Yes - protected under ECOA,0.6422,-0.1647,High,Certain - measured on held-out data,young (<30) applicants are approved at 64% of the reference group's rate,B: group threshold,0.8224,Low,True
FR-03,home_ownership,Adverse impact on home ownership,non-homeowner,32.7%,No - proxy for wealth,0.2828,-0.4684,Critical,Certain - measured on held-out data,non-homeowner applicants are approved at 28% of the reference group's rate,B: group threshold,0.2937,Critical,False
